rab.all	rab.win.Bottom.decile	rab.win.Top.decile	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
58	1.92774842170952	1.59646170978627	2.41454479168246	1.02539171078887	2.35747104229459	-4.13613392294656	6.40806023979432	0.340624888273773	6.44603384658772	0.397983548100002	-2.24136154679919	6.91529618451376	0.266406265198469	0.0194739969703208	0.510469531397978	0.0162428739253608	0.510915705354258
84	3.66509492405902	3.19511255872509	3.83568319274164	0.816538724935117	1.97507765863735	-2.45993125492763	4.20366188448753	0.376499553174477	4.10619703716454	0.394641588212374	-2.00616842694245	4.98485981309694	0.350000008383948	0.0571749031858904	0.65287442952136	0.0959408093921608	0.777950730526946
130	0.832506344916795	0.327813846701403	1.63982267504347	1.02022056986083	2.57320032644174	-4.14286208612638	5.06856967535963	0.402399867749327	5.91761446320513	0.375129795985978	-2.63348904065846	4.85534460016796	0.340359103484792	0.112487508808151	0.741544300201037	0.0845342478591756	0.742805512054653
224	-1.38176423536033	-2.02457806097397	-0.601154177855469	1.53991623578275	3.52278929852726	-4.3081625579159	10.6193216174304	0.527260204041387	12.0749735530078	0.372110412529492	-2.54194981776195	6.91417051912905	0.296643259836883	0.0483560273214516	0.556570715812074	0.0348933636845251	0.572918566053262
129	-1.18593122422184	-0.210821589130689	-2.86116015876495	-2.35788507068305	6.00296702369929	-15.113957682453	8.13952004516133	0.961514815231374	15.8091073843552	-0.359929996979412	-5.48452940221357	2.52184533278978	0.327088222307943	0.0758156763245299	0.646650076846667	0.0862707648867241	0.739794510282598
116	1.98160862340332	1.74330783074984	2.12750911298733	0.752776646636153	1.93436393262012	-2.19425815444726	5.1044030885977	0.300395319025905	5.01580978091202	0.359462253840828	-2.44763980335116	5.67679428130503	0.345042943912211	0.0402942506555526	0.602794935714717	0.108214228922322	0.788750979959955
36	2.54792314639202	2.31361297328184	2.97640477545755	0.683173364490038	1.47497105322696	-3.84240304871419	6.0140628841829	0.202469179324892	6.01883954559559	0.354785211869213	-3.23827713071902	11.265720937808	0.269531264884695	0.0479735138412333	0.634116627212303	0.0147167606413916	0.480562482027408
136	1.70152206572971	1.13378420609397	2.47103209677483	1.03571255466827	2.42853363692276	-4.42110799255235	5.13319054389826	0.355411250608697	6.48946506020449	0.35442000529499	-3.60709960272747	4.70231607183843	0.340625009022978	0.214868307873213	0.850554973147984	0.0962606812601674	0.773517202859464
40	3.73516611977276	3.99900794326926	3.37428597983935	-0.661938316409268	1.60658679957905	-4.86787822300112	2.41333918874291	0.249838095115543	4.65926527583042	-0.349297993009745	-6.93386406671484	2.90608075144129	0.317720541510842	0.0632217318024921	0.67046540583776	0.0579347136916764	0.706758449157485
93	2.31682780603017	2.03624358753538	2.74626664573356	0.603714541717308	1.51432149667345	-2.7395722347689	3.63195223961787	0.244499580479787	4.19583941994647	0.349285461471708	-2.84549041073186	5.09994084951324	0.335937509351485	0.0959125950528692	0.719722463902445	0.0764574218542925	0.724023252490511
