rab.all	rab.win.Bottom.decile	rab.win.Top.decile	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
130	0.809861522500112	0.32043270821053	1.64199609707226	1.08789295773249	2.52152429869392	-4.34123287164058	5.00408758966231	0.429631353998893	5.9284482638407	0.408173696204049	-2.83375647636833	5.08485732481293	0.333593759518124	0.116841867341684	0.748431871435737	0.0884692130950806	0.74386955440546
224	-1.39850467262314	-2.06474615480638	-0.637847300916196	1.49474214468081	3.50044562518667	-4.56453418206377	10.403723191487	0.5225123621435	11.0376261117248	0.400005248544234	-2.425001853918	6.80568309236304	0.284153018936537	0.0393346138927341	0.551539343202363	0.033232571311226	0.560826851420248
58	1.91048102342748	1.58171432393085	2.4174547517798	1.06871571145389	2.32920185304809	-4.05448130762337	6.49006514715341	0.315298313629678	6.46712132580604	0.396575759753371	-2.09975630252907	7.15853132861658	0.280468763832506	0.0203829387870405	0.522140457560762	0.017855709854859	0.517695055592946
268	-4.25206029532668	-3.12686532259346	-5.01929395015858	-2.15901343677066	5.29311368407604	-12.6669858946571	8.38725123049994	0.795762514483383	14.4014310310756	-0.391575483827397	-5.44185789808985	2.81156271992359	0.32474630210591	0.137793797429627	0.68670147120074	0.121024480840868	0.703630305277956
84	3.65553689093178	3.20148829677707	3.84994085288436	0.805906674081025	1.98811813340706	-2.52325161998155	4.22267601066382	0.304843549712243	4.09683765926045	0.385421312377338	-2.34110430054053	5.03802933404066	0.346604224055985	0.0567141195558084	0.646806544514497	0.096502607394805	0.771429709694822
182	-2.03820378187129	-1.33913433820318	-2.61975334865796	-1.65731205161612	4.28173823123551	-11.6935971197868	6.00195177060825	0.599422179419607	13.4447318938457	-0.37961436734776	-6.97987271701428	2.63982135846153	0.307812511469747	0.0681329632707331	0.5939268621119	0.0596267465327895	0.627754523569369
129	-1.22385138352653	-0.174053100859179	-2.91623759757123	-2.39291069184795	5.94949139281966	-14.2848636231051	7.70455206827137	1.03113826328176	14.7404330349166	-0.375685222000572	-5.81011878261625	2.13206754700422	0.338017183273348	0.0726148522633697	0.640197938770015	0.076251015411677	0.704086332184937
73	3.35197047416932	3.23275678520488	3.97397974011552	0.689608353771656	1.94687829797376	-2.61357033808241	3.95274117108056	0.293590617897816	4.06448608312532	0.366771085182046	-2.79140296875358	4.83039069499063	0.346875008594399	0.125876227207529	0.765912448501384	0.141418011778875	0.827279253453543
126	1.62423094610315	1.9588219614133	1.29988501825129	-0.921406032031951	2.32199150589336	-6.53564833856232	2.74295789293675	0.343462345080616	6.30277289847114	-0.366155184786096	-6.7301628303167	2.12587568298237	0.325781260085715	0.0280455646576494	0.552777459761718	0.0604199010116893	0.687007530688506
40	3.7302111265727	3.99532397880787	3.36792853466208	-0.659821176838592	1.6308522784579	-4.88892874407093	2.26824510941296	0.249267713816531	4.76558993193582	-0.364853782186714	-5.80618333576966	2.40681134151636	0.321623741839352	0.0628561248043619	0.670562541062853	0.0568660066401745	0.690776797517428
136	1.68982483341426	1.15338419167457	2.45621550572249	0.980021257817879	2.38396506541529	-4.61257399258757	5.03682621559912	0.40255991037756	6.6915902625751	0.357134911455159	-3.27771596342033	4.85707692659891	0.339578463414139	0.209025708575777	0.849374031695116	0.0912966645835595	0.757485237980046
71	1.37388068770931	1.87001098030348	0.87558612478429	-1.26965505730154	3.23234200912285	-8.83067453958632	5.96781462381062	0.445490333979266	9.52982209705133	-0.354442314812031	-6.3611164238721	3.11076191059284	0.325526942173056	0.11845689094732	0.755737001109635	0.0775340042367189	0.731752539377806
