rab.all	rab.win.Explained	rab.win.Protected	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
71	1.10049689973743	0.752959543970712	1.38403720146065	0.671403788288252	3.89462684667498	-7.9906713083929	8.83213472771511	0.618155455108091	11.4355301922117	0.148491950257329	-3.82526700859323	4.84832116056916	0.417100576033629	0.2052227783524	0.96190201708795	0.0899390819832113	0.958974420438103
15	4.75542218432849	4.90994905068128	4.58899353754801	-0.316008199262011	1.88726121926619	-3.85390204091183	3.62581843489423	0.313160827878849	5.05612290452563	-0.146038819715251	-4.23728022680869	3.39456089484785	0.425870101872013	0.227265821157978	0.960976688043922	0.162604832275018	0.961253810790893
135	0.427961277835546	0.221484920309499	0.552705864676753	0.479162574791029	3.31769942207117	-5.60862731653368	6.5730720050711	0.534151698952417	8.06923099397088	0.144740349981372	-3.06515814883479	4.6454951270941	0.424067982942847	0.152393761873524	0.960482389571798	0.174617966423276	0.961408309840392
41	3.78673764798697	4.00344632812211	3.66618194914965	-0.314709607183186	2.02030288687104	-4.06351770451288	3.67859436664119	0.291425946190521	4.896655032196	-0.143674735866523	-4.59030319112974	3.46845768555414	0.427905702215422	0.171909868329506	0.961163692801088	0.177388249618898	0.961465334009306
254	-3.39186817780076	-3.76543633073778	-3.03898268053113	0.763483440921684	4.55707112067709	-9.21972445517033	10.3078868725989	0.796645822819069	13.5903881763899	0.142793851157996	-3.39061423437325	4.59962322289475	0.429824561851774	0.33554614985793	0.95999961349509	0.257134694802539	0.960666003237061
57	3.74106224443526	3.51676382281269	3.99524010794176	0.274285189057261	1.85286174534026	-3.25616685614387	3.50527310957849	0.310529993193244	4.10849988703211	0.140715050046803	-3.19532790024628	3.98634280402168	0.438048246008022	0.270753151373124	0.961409833533736	0.25084917266518	0.96401134727685
93	2.44377700087459	2.66548910323607	2.35894424151755	-0.294090714585055	1.9497839059846	-3.89217812406623	3.36732013399277	0.324263257371731	4.72941811508716	-0.140495946091697	-4.18033614365992	3.37337096105295	0.439846533678794	0.207334670278767	0.961388738462277	0.217230417746349	0.962952762388046
92	2.30376053417545	2.10738963243287	2.44716480801508	0.376729123612147	2.53860781646965	-4.32815992268531	4.98907020671176	0.412195409879606	5.94773227987884	0.139844810368098	-3.09993226149209	4.56346751883402	0.426418197236944	0.187819390633858	0.961388738462277	0.163604631607751	0.959806460860554
261	-4.05818103417698	-3.71253755874432	-4.3404856541142	-0.733915035088531	4.66771896901672	-11.7321074701406	8.94453352522926	0.809548341015216	14.2464618176162	-0.137749284950444	-4.56231591456931	3.16385061763489	0.429002193436189	0.232840692905002	0.931385771155475	0.251236731688317	0.942510387137356
151	1.81810057748744	1.60844292690964	1.93605847387042	0.189773132888432	1.2610923392106	-2.19642829377767	2.71132529605063	0.218202810632139	3.67430483335082	0.137369303481492	-3.25343137984237	4.44947466144055	0.437500000397584	0.196481264601199	0.961589171511574	0.208940219259953	0.960333235692077
