rab.all	rab.win.Explained	rab.win.Unexplained	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
218	-2.85502683532304	-3.47827327745879	-2.39905063314377	0.919343297192276	5.25800526557093	-9.53062442932987	11.8088445550097	0.945981282578759	14.7523495999431	0.155483617077777	-3.0748244993874	4.31984231463899	0.422149123306627	0.215224898353578	0.820750904925238	0.184088215018522	0.810638734126224
40	3.86875174452589	4.04742561046864	3.7761669177873	-0.309673766375504	1.8598857419146	-4.36157896338261	3.19790827333568	0.326604967277394	4.96605955040099	-0.152013923017984	-4.46048157165088	3.13789914388365	0.422033434317599	0.109008737661273	0.830648521739348	0.171538161393531	0.828426053371593
9	5.60717517467049	5.68058589263119	5.50007339504726	-0.311033373350853	1.87590437823232	-3.8796976311655	3.61146780302467	0.323389012885472	4.87877129688878	-0.146771242578783	-4.01378701385941	3.50367029660383	0.430646930267366	0.278074729264325	0.869925865279981	0.197501242311253	0.831632760939723
297	-4.71640654962312	-4.33108931474597	-4.98590722525802	-0.728125391396607	4.43246287270239	-11.1357041682788	8.68299722549093	0.775424030038603	13.8298588301046	-0.146470700762353	-4.69785602564788	3.30123531533492	0.419841052858017	0.27647979939248	0.778985249615818	0.269072091897357	0.768380826281344
183	-0.424002329002719	-0.922261092378192	-0.0351306750712563	0.635494245025807	3.84769397342038	-7.89053665301411	8.66772102858361	0.626598170836237	11.4906135006453	0.145793767844563	-4.07159134816375	4.37451682091202	0.424499863459702	0.321084490057364	0.878877930817216	0.152568606110661	0.819358809683497
212	-1.17126582520541	-1.38400390409281	-0.947554285774108	0.538610883131001	3.12136207925255	-6.18740242243446	7.5708450192854	0.563627171225659	10.054303559632	0.143804752329889	-3.27491944795528	4.41848288370984	0.426535088189482	0.225652736474511	0.847918706166318	0.182364159014717	0.817427736523826
14	4.87831832576646	4.48584693196791	5.21754435934035	0.320399070851508	2.21016658209081	-3.65127484936662	4.13762486659313	0.375523331315436	4.73487759774014	0.143184870873556	-3.1793661132172	3.99452676893577	0.431899150886445	0.22817968919664	0.859815872176748	0.235030941286366	0.838910783036653
203	-2.58604172866781	-2.95050676369562	-2.20927650206499	0.784140205880875	5.23247829762356	-10.7358830072102	10.8333779686462	0.925232327923523	14.9869071104	0.141919989431602	-3.5208530773836	4.12854986247032	0.431351055521479	0.364273750720552	0.88053068284382	0.203800310291931	0.822653181554883
189	-1.03202274277564	-1.51148110304283	-0.750968076975443	0.663826977193203	4.31485398281987	-7.80788535843471	9.84190527749925	0.622121183423273	12.5959341616369	0.139517940400342	-3.44402173121704	5.00393159419413	0.425596054189549	0.21938090078975	0.854675692269269	0.137690863251239	0.819351016322937
31	4.0877105467366	4.3497922890315	3.88324088828112	-0.318061611866317	2.09865628369366	-4.35717772162124	4.14639871057762	0.360566350396165	5.38974721778699	-0.137674888186649	-4.06914826991499	3.40476436458054	0.432839912708981	0.316065784837656	0.87652165082916	0.219249506613633	0.833638567775118
80	2.6465162299242	2.84307776611303	2.28884638187737	-0.35985568207873	2.43656318184133	-4.2780959957927	4.07335900413721	0.423090592794116	5.11865579866398	-0.134092349990014	-3.91939947144141	3.3898226509102	0.439967105644579	0.409749659134636	0.89428739304464	0.263483504988871	0.840387294546143
233	-1.81405114388654	-2.07001191498853	-1.63987237755924	0.656104038507507	4.28937076883499	-8.24558032950008	9.82261128048074	0.694084220794067	12.419439883257	0.133986723585991	-3.73985856639514	4.61544600575832	0.425596054189549	0.208758074587922	0.840218110897251	0.228282472625553	0.831436087978928
147	-0.615058932965992	-0.965034799302141	-0.408765172971434	0.558602284339234	3.77194152479621	-6.59479281475299	8.55425739628847	0.536107228946743	10.999893766655	0.132761188255352	-3.62110525208186	5.31079536387932	0.420389148222907	0.229028662672564	0.855048919125533	0.161811239294533	0.819054974488359
62	2.40023616154088	2.57896601935273	2.29101173048472	-0.344009945740737	2.36559451183047	-5.26436925403124	4.02737789293172	0.433060388392997	5.97533761756048	-0.131370656037482	-4.23730426619313	3.07978301130396	0.432839912708981	0.197159890377532	0.853476551695032	0.205874245907968	0.831242302070911
259	-4.03892154919278	-3.63247774373666	-4.34508560391046	-0.761809026874173	5.11466488638805	-12.0952580782653	9.34807168306187	0.950819922015256	14.791852225245	-0.128838782082911	-4.18001163998149	3.50372977807391	0.434484649540227	0.206894189556984	0.80547686571414	0.21475150884896	0.802569579641649
219	-4.60031717446198	-4.95154952388735	-4.35266799205161	0.714071634539733	4.9937782005273	-9.20005613004754	12.005168746715	0.867100830494631	14.6710374467654	0.128481866585865	-3.31018634329397	4.42225442554752	0.438322368813242	0.268077380454786	0.824682580370696	0.257784827574537	0.81060315453532
17	4.27550288481325	4.48977127976057	4.14515759062157	-0.30028385550955	2.23423617517451	-4.70945666242014	4.17876461622834	0.33917708082898	5.32994761509284	-0.127037395585228	-4.94980807919471	3.47286128213899	0.435307017955861	0.189754484277348	0.855045856621454	0.17942945236767	0.830026660051375
262	-3.27214098712207	-3.70018094109467	-2.91379106300006	0.688332778230948	4.61597853072586	-8.8141241246428	10.6087046733715	0.809203680174936	14.0418428422837	0.126670848867663	-3.33525210115331	4.26826214682598	0.433388158319393	0.298339526179783	0.846262331958823	0.260611167997377	0.82136430725597
59	2.86347658564324	2.75800446340189	3.03931128443769	0.311913958396158	2.48985467348901	-4.19558383257424	5.06296101190073	0.42385835540789	5.7218843636334	0.126014685154694	-3.00889542172127	4.17695137816196	0.447094298580657	0.170457528262941	0.850527968479873	0.256196394125105	0.844094363040452
86	2.48737294520608	2.68824945214126	2.33959787144166	-0.410979192601451	3.12489339685192	-6.64338319956932	5.99470381148142	0.497284153582025	8.46405054081051	-0.125716618871514	-4.59697822582569	3.79186223265348	0.429550439046578	0.305859288242291	0.874843739900589	0.179266789849491	0.828300343554473
122	1.19421909385035	1.32884909801132	1.10480362904316	-0.367965821230799	2.61691575598951	-5.5173544521589	4.56459352317582	0.371655920104565	6.06425681845928	-0.125289484532098	-5.03706243593077	3.50307706561779	0.430921053072565	0.176443149664894	0.849150205809003	0.225847894887041	0.832521517872359
15	4.80107669362018	4.91678060535346	4.61692504613513	-0.270409057957274	2.00492007827425	-3.93405829210333	3.85133080851312	0.343413932015079	5.07980625253004	-0.12415404679505	-3.9252095874622	3.39134974071697	0.44450534428149	0.36955928808547	0.887057521647568	0.246720753357503	0.838734905563608
276	-4.90291387743119	-4.55533730056293	-5.16398300381847	-0.686886125223356	4.92079178432367	-10.963138257957	9.43990198891119	0.857294781152559	14.1611897048047	-0.122346521485656	-4.39388175705023	3.23261085758142	0.432721293933898	0.273451587681159	0.808999988316685	0.26531849441395	0.791671044585758
42	3.57975829718273	3.71977465331345	3.45243457563861	-0.274004206769202	1.98727910495233	-4.3933793305185	3.90545701016021	0.304764123174962	5.20141279805785	-0.121988277143477	-4.92878819737156	3.94196019134029	0.430802960156517	0.218214186798799	0.857869722465409	0.169804751307486	0.826104945103061
291	-4.67508719343136	-4.35662906773182	-4.91668024595616	-0.607957729266654	4.41501359296958	-10.3066954459314	8.7589240351995	0.730869735280831	13.61096189336	-0.121013971940494	-4.50771712434641	3.81209256597048	0.440668676726314	0.324545799237717	0.837152956961575	0.308308744582038	0.822617701245472
